Reference, Cell Type, Cell Name, Count
"Act_Rockslide01","Interior","Old Mournhold: Abandoned Crypt",1
"Act_Terrain_lava_vent","Interior","Norenen-dur, The Teeth that Gnash",2
"Act_Terrain_lava_vent","Interior","Norenen-dur, The Wailingdelve",4
"Act_Terrain_lava_ventlg","Interior","Norenen-dur, The Teeth that Gnash",1
"Act_Terrain_lava_ventlg","Interior","Norenen-dur, The Wailingdelve",2
"Active_De_Bar_Door","Interior","Mournhold, The Winged Guar",1
"Active_MH_Forcefield_01","Interior","Mournhold, Ignatius Flaccus' House",1
"Active_MH_Forcefield_02","Interior","Mournhold, Ignatius Flaccus' House",1
"Active_MH_Forcefield_03","Interior","Mournhold, Ignatius Flaccus' House",1
"Active_MH_Forcefield_04","Interior","Mournhold, Ignatius Flaccus' House",1
"Active_MH_Forcefield_05","Interior","Mournhold, Ignatius Flaccus' House",1
"Ahnia","Interior","Old Mournhold: Bazaar Sewers",1
"Aleri Aren","Interior","Mournhold, Royal Palace: Guards' Quarters",1
"Almalexia_warrior","Interior","Sotha Sil, Dome of Sotha Sil",1
"Alusannah","Interior","Mournhold, Royal Palace: Barenziah's Chambers",1
"Alvan Llarys","Interior","Mournhold, Sadri Manor",1
"Anrel","Interior","Mournhold, Llethan Manor",1
"Arnsa Thendas","Interior","Mournhold, Thendas Manor",1
"Bedal Alen","Interior","Mournhold, Bookseller",1
"Bels Uvenim","Interior","Mournhold, Temple Courtyard",1
"Belwen","Interior","Mournhold, Clothier",1
"Bipolar Blade_x","Interior","Mournhold, Museum of Artifacts",1
"Black Dart Adren","Interior","Old Mournhold: Temple Sewers West",1
"Black Dart Draren","Interior","Old Mournhold: Temple Sewers East",1
"Black Dart Gilur","Interior","Old Mournhold: Temple Sewers West",1
"Black Dart Malar","Interior","Old Mournhold: Temple Sewers West",1
"Black Dart Urvyn","Interior","Old Mournhold: Temple Sewers West",1
"Blue Candle Bulb_128","Interior","Bamz-Amschend, Hearthfire Hall",1
"Blue Candle Bulb_128","Interior","Mournhold Temple: High Chapel",1
"Blue Candle Bulb_177","Interior","Mournhold, Plaza Brindisi Dorom",1
"Blue Candle Bulb_256","Interior","Mournhold Temple: High Chapel",3
"BookSkill_Alchemy1","Interior","Mournhold, Ignatius Flaccus' House",1
"BookSkill_Alchemy1","Interior","Mournhold, Llethan Manor",1
"BookSkill_Alteration3","Interior","Old Mournhold: Manor District",1
"BookSkill_Armorer3","Interior","Mournhold Temple: Office of the Lord Archcanon",1
"BookSkill_Destruction5","Interior","Mournhold, Royal Palace: Helseth's Chambers",1
"Broken_Imperfect","Interior","Sotha Sil, Dome of the Imperfect",1
"Calvus Horatius","Interior","Mournhold, Royal Palace: Courtyard",1
"Catia Sosia","Interior","Mournhold, Armory",1
"Chest_gatekeeper","Interior","Old Mournhold: Teran Hall",1
"Column_Cast","Interior","Old Mournhold: Temple Shrine",5
"Com_Basket_01_POS","Interior","Mournhold Temple: Basement",4
"Com_Basket_01_POS","Interior","Mournhold, Andoren Manor",2
"Com_Basket_01_POS","Interior","Mournhold, Armory",3
"Com_Basket_01_POS","Interior","Mournhold, Clothier",2
"Com_Basket_01_POS","Interior","Mournhold, Craftsmen's Hall",3
"Com_Basket_01_POS","Interior","Mournhold, Geon Auline's House",4
"Com_Basket_01_POS","Interior","Mournhold, Great Bazaar",1
"Com_Basket_01_POS","Interior","Mournhold, Ignatius Flaccus' House",5
"Com_Basket_01_POS","Interior","Mournhold, Llethan Manor",2
"Com_Basket_01_POS","Interior","Mournhold, Pawnbroker",4
"Com_Basket_01_POS","Interior","Mournhold, Royal Palace: Basement",6
"Com_Basket_01_POS","Interior","Mournhold, Royal Palace: Legion Depot",3
"Com_Basket_01_POS","Interior","Mournhold, Sadri Manor",2
"Com_Basket_01_POS","Interior","Mournhold, The Winged Guar",3
"Com_Basket_01_POS","Interior","Mournhold, Thendas Manor",3
"Com_Basket_01_POS","Interior","Mournhold, Trader",4
"Com_Basket_01_POS","Interior","Mournhold, Vacant Manor",2
"Com_Basket_01_POS","Interior","Mournhold, Velas Manor",2
"Com_Basket_01_POS","Interior","Pelagiad, Ignatius Flaccus' House",1
"Com_Chest_11_empty","Interior","Old Mournhold: Teran Hall",1
"Com_Sack_02_Gold_05","Interior","Pelagiad, Ignatius Flaccus' House",1
"Com_Sack_02_Ingred","Interior","Mournhold, Great Bazaar",1
"Crito Olcinius","Interior","Mournhold, Royal Palace: Imperial Cult Services",1
"Daron","Interior","Mournhold, Great Bazaar",1
"Dilborn","Interior","Old Mournhold: Residential Sewers",1
"Diradeni Farano","Interior","Mournhold, Royal Palace Throne Room",1
"DivineMarker","Interior","Mournhold, Royal Palace: Courtyard",1
"Donus Serethi","Interior","Mournhold, Llethan Manor",1
"Dovor Oren","Interior","Mournhold, Vacant Manor",1
"Drusus Gratus","Interior","Mournhold, Royal Palace Throne Room",1
"EX_MH_bar_01","Interior","Mournhold, Godsreach",1
"EX_MH_bazaar_bench_01","Interior","Mournhold, Great Bazaar",5
"EX_MH_bazaar_booth_01","Interior","Mournhold, Great Bazaar",2
"EX_MH_bazaar_bridge","Interior","Mournhold, Great Bazaar",1
"EX_MH_bazaar_cart_01","Interior","Mournhold, Great Bazaar",3
"EX_MH_bazaar_stage","Interior","Mournhold, Great Bazaar",1
"EX_MH_bazaar_stage_02","Interior","Mournhold, Great Bazaar",1
"EX_MH_building_01","Interior","Mournhold, Godsreach",1
"EX_MH_building_02","Interior","Mournhold, Godsreach",1
"EX_MH_building_03","Interior","Mournhold, Godsreach",1
"EX_MH_building_04","Interior","Mournhold, Godsreach",1
"EX_MH_building_05","Interior","Mournhold, Godsreach",1
"EX_MH_building_07","Interior","Mournhold, Godsreach",1
"EX_MH_building_08","Interior","Mournhold, Godsreach",1
"EX_MH_building_09","Interior","Mournhold, Godsreach",1
"EX_MH_building_10","Interior","Mournhold, Great Bazaar",2
"EX_MH_canal_grate_01","Interior","Mournhold, Godsreach",2
"EX_MH_canal_grate_01","Interior","Mournhold, Great Bazaar",2
"EX_MH_canal_grate_01","Interior","Mournhold, Temple Courtyard",2
"EX_MH_door_02","Interior","Mournhold, Godsreach",9
"EX_MH_door_02","Interior","Mournhold, Great Bazaar",6
"EX_MH_door_02_ignatius","Interior","Mournhold, Godsreach",1
"EX_MH_door_02_sadri","Interior","Mournhold, Godsreach",1
"EX_MH_door_02_velas","Interior","Mournhold, Godsreach",1
"EX_MH_doorjamb_02a","Interior","Mournhold, Godsreach",10
"EX_MH_doorjamb_02a","Interior","Mournhold, Great Bazaar",6
"EX_MH_palace_wall_01","Interior","Mournhold, Temple Courtyard",2
"EX_MH_palace_wall_02","Interior","Mournhold, Godsreach",1
"EX_MH_palace_wall_02","Interior","Mournhold, Great Bazaar",1
"EX_MH_platform_01","Interior","Mournhold, Godsreach",1
"EX_MH_platform_02","Interior","Mournhold, Godsreach",1
"EX_MH_platform_03","Interior","Mournhold, Godsreach",1
"EX_MH_road_01","Interior","Mournhold, Godsreach",1
"EX_MH_road_03","Interior","Mournhold, Great Bazaar",1
"EX_MH_steps_01","Interior","Mournhold, Godsreach",2
"EX_MH_temple_door_01","Interior","Mournhold Temple: High Chapel",1
"EX_MH_temple_door_01","Interior","Mournhold Temple: Reception Area",1
"EX_MH_temple_door_01","Interior","Mournhold, Temple Courtyard",1
"EX_MH_temple_door_01_ch","Interior","Mournhold Temple: Reception Area",1
"EX_MH_wall_01","Interior","Mournhold, Godsreach",1
"EX_MH_wall_01","Interior","Mournhold, Great Bazaar",1
"EX_MH_wall_tower_01","Interior","Mournhold, Godsreach",1
"EX_MH_wall_tower_01","Interior","Mournhold, Great Bazaar",1
"EX_MH_wall_tower_01","Interior","Mournhold, Temple Courtyard",1
"EX_MH_window_01","Interior","Mournhold, Godsreach",34
"EX_MH_window_01","Interior","Mournhold, Great Bazaar",4
"EX_MH_window_03","Interior","Mournhold, Godsreach",5
"EditorMarker_box_02","Interior","Mournhold, Godsreach",1
"EditorMarker_box_02","Interior","Mournhold, Great Bazaar",1
"EditorMarker_box_02","Interior","Mournhold, Plaza Brindisi Dorom",1
"EditorMarker_box_02","Interior","Mournhold, Royal Palace: Courtyard",1
"EditorMarker_box_02","Interior","Mournhold, Temple Courtyard",1
"Elanande","Interior","Mournhold, Godsreach",1
"Elbert Nermarc","Interior","Mournhold, Craftsmen's Hall",1
"Ervis Verano","Interior","Mournhold, Royal Palace: Helseth's Chambers",1
"Evo Othreloth","Interior","Mournhold, Royal Palace Throne Room",1
"Ex_Com_Bottle_11_float","Interior","Old Mournhold: Residential Sewers",1
"Ex_DAE_Boethiah","Interior","Norenen-dur, Basilica of Divine Whispers",1
"Ex_MH_Almalexia_Statue","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Door_01","Interior","Mournhold, Royal Palace: Courtyard",6
"Ex_MH_Lantern_Post","Interior","Mournhold, Godsreach",5
"Ex_MH_Palace_Courtyard","Interior","Mournhold, Royal Palace: Courtyard",1
"Ex_MH_Palace_Tower","Interior","Mournhold, Godsreach",2
"Ex_MH_Palace_Tower","Interior","Mournhold, Great Bazaar",2
"Ex_MH_Palace_Tower","Interior","Mournhold, Plaza Brindisi Dorom",6
"Ex_MH_Palace_Tower","Interior","Mournhold, Temple Courtyard",2
"Ex_MH_Palace_Tower02","Interior","Mournhold, Temple Courtyard",1
"Ex_MH_Palace_gate","Interior","Mournhold, Plaza Brindisi Dorom",1
"Ex_MH_Palace_gate","Interior","Mournhold, Royal Palace: Courtyard",2
"Ex_MH_Palace_gate","Interior","Mournhold, Temple Courtyard",1
"Ex_MH_Palacewin_01","Interior","Mournhold, Temple Courtyard",1
"Ex_MH_Palacewin_02","Interior","Mournhold, Godsreach",2
"Ex_MH_Palacewin_02","Interior","Mournhold, Great Bazaar",2
"Ex_MH_Palacewin_02","Interior","Mournhold, Plaza Brindisi Dorom",2
"Ex_MH_Palacewin_02","Interior","Mournhold, Temple Courtyard",2
"Ex_MH_Palacewin_03","Interior","Mournhold, Godsreach",2
"Ex_MH_Palacewin_03","Interior","Mournhold, Great Bazaar",5
"Ex_MH_Palacewin_03","Interior","Mournhold, Plaza Brindisi Dorom",6
"Ex_MH_Palacewin_03","Interior","Mournhold, Temple Courtyard",3
"Ex_MH_Paldoorjamb_01","Interior","Mournhold, Royal Palace: Courtyard",6
"Ex_MH_Pav_BStatue_01","Interior","Mournhold, Plaza Brindisi Dorom",1
