Reference, Cell Type, Cell Name, Count
"A_Ex_De_Oar","World","Hirstaang Forest Region(-24,15)",1
"A_Ex_De_Oar","World","Isinfier Plains Region(-23,22)",2
"Act_BM_axe_hrothmund","Interior","Solstheim, Hrothmund's Barrow",1
"Act_BM_firelake00","World","Solstheim, Lake Fjalding(-20,23)",1
"Act_BM_garden_plot_01","World","Isinfier Plains Region(-22,21)",1
"Act_BM_imp_plat_01","World","Fort Frostmoth(-22,17)",1
"Act_BM_imp_plat_02","World","Fort Frostmoth(-22,17)",1
"Act_BM_pipe_01","Interior","Solstheim, Chamber of Song",1
"Act_BM_pipe_02","Interior","Solstheim, Chamber of Song",1
"Act_BM_pipe_03","Interior","Solstheim, Chamber of Song",1
"Act_BM_pipe_04","Interior","Solstheim, Chamber of Song",1
"Act_BM_pipe_05","Interior","Solstheim, Chamber of Song",1
"Act_BM_pipe_06","Interior","Solstheim, Chamber of Song",1
"Act_BM_rubble_01","Interior","Fort Frostmoth, Curtain Wall",4
"Act_BM_rubble_01","World","Fort Frostmoth(-22,17)",3
"Act_BM_rubble_02","World","Fort Frostmoth(-22,17)",1
"Act_BM_steam_01","Interior","Solstheim, Chamber of Song",1
"Act_BM_steam_02","Interior","Solstheim, Chamber of Song",1
"Act_BM_steam_03","Interior","Solstheim, Chamber of Song",1
"Act_BM_steam_04","Interior","Solstheim, Chamber of Song",1
"Act_BM_steam_05","Interior","Solstheim, Chamber of Song",1
"Act_BM_steam_06","Interior","Solstheim, Chamber of Song",1
"Act_BM_stone_beast_01","World","Felsaad Coast Region(-20,24)",1
"Act_BM_stone_earth_01","World","Hirstaang Forest Region(-26,20)",1
"Act_BM_stone_erlendr","World","Solstheim, Brodir Grove(-23,20)",1
"Act_BM_stone_hunroor","World","Solstheim, Brodir Grove(-23,20)",1
"Act_BM_stone_nikulas","World","Solstheim, Brodir Grove(-23,20)",1
"Act_BM_stone_sun_01","World","Isinfier Plains Region(-20,19)",1
"Act_BM_stone_tree_01","World","Isinfier Plains Region(-22,21)",1
"Act_BM_stone_ulfgar","World","Solstheim, Brodir Grove(-23,20)",1
"Act_BM_stone_water_01","World","Moesring Mountains Region(-26,23)",1
"Act_BM_stone_wind_01","World","Moesring Mountains Region(-22,25)",1
"Act_BM_tree_01","World","Isinfier Plains Region(-22,21)",1
"Act_BM_tree_02","World","Isinfier Plains Region(-22,21)",1
"Act_BM_tree_03","World","Isinfier Plains Region(-22,21)",1
"Act_BM_wall_01","World","Fort Frostmoth(-22,17)",3
"Act_BM_wall_02","World","Fort Frostmoth(-22,17)",2
"Act_BM_wall_03","World","Fort Frostmoth(-22,17)",1
"Act_BM_wall_arch_01","World","Fort Frostmoth(-22,17)",1
"Act_BM_wall_arch_02","World","Fort Frostmoth(-22,17)",1
"Act_BM_wall_corner_01","World","Fort Frostmoth(-22,17)",1
"Act_BM_wall_corner_02","World","Fort Frostmoth(-22,17)",1
"Act_BM_wall_corner_03","World","Fort Frostmoth(-22,17)",1
"Act_BM_well_01","World","Fort Frostmoth(-22,17)",1
"Act_BM_well_02","World","Fort Frostmoth(-22,17)",1
"Act_Ex_DE_ship_door","World","Fort Frostmoth(-22,16)",1
"Act_Ex_DE_ship_door_baro","World","Hirstaang Forest Region(-25,18)",1
"Afer Flaccus","Interior","Raven Rock, Bar",1
"Afer Flaccus_guard","World","Raven Rock(-25,19)",1
"Alcedonia Amnis","Interior","Raven Rock, Bar",1
"Aldam Berendus","Interior","Raven Rock, Mine",1
"Alfbrand","World","Hirstaang Forest Region(-20,17)",1
